uq_map_name,dataset_name,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
frankfurt_000000_016005,cityscapes_dropout_pu,0.2987829076462683,0.4363164492787682,0.590126185004263,0.7605602368443369,0.9029766555376262,0.0,0.37327807089049825,0.425162753638661,0.4892512625743251,0.5869312807386513,0.39566524287274013,0.8269461024558704,0.6459367573339243,0.5173532431026069,0.4765469763678626,0.4307198692821044,0.35862331830378114,0.4688285555860546,0.28183960667352587
frankfurt_000000_016286,cityscapes_dropout_pu,0.31954536188795796,0.4317901403599358,0.6105924180918247,0.7609193567029738,0.9052579856120117,0.0,0.3952735193290479,0.4432253547270165,0.49833265428069023,0.6117062089376443,0.4016313371982314,0.7871785450584823,0.7078237872440398,0.6245663529437077,0.5043941699646647,0.47617212634615225,0.39817061556367805,0.3549397955769523,0.30304372686912817
frankfurt_000000_017228,cityscapes_dropout_pu,0.29717504149311874,0.4344982037603849,0.6096781378211087,0.7521438440218768,0.0,0.0,0.354366478761818,0.39975510710678275,0.4676633399013913,0.5911249574323592,0.36695525494235404,0.795411714093508,0.7377107524169554,0.5625491728086928,0.4335961388251941,0.39979008461953314,0.3527904750882524,0.45686736075040024,0.30556021562246116
frankfurt_000000_017476,cityscapes_dropout_pu,0.31712280883988236,0.5237235127099571,0.6759621562517821,0.8013034532212632,0.9174298150693445,0.0,0.37845304707953453,0.4401937177126551,0.5510710194994477,0.7513404631864501,0.40632765924185205,0.9339649230606889,0.8970676747415359,0.8063039453799297,0.6763293655320249,0.5905997976045103,0.37740413197091344,0.47592062669753366,0.3649278439216963
frankfurt_000000_018797,cityscapes_dropout_pu,0.24058235281861665,0.4523182949380321,0.6247715807053326,0.7665659102565486,0.9035397704773659,0.0,0.29525440063079206,0.32925034587646795,0.39896811970084517,0.5587860285331103,0.31314830443241376,0.8229912887310116,0.6540829431343889,0.5347514184949161,0.4651730492889634,0.4022299400564459,0.3036400523413856,0.3663166024322894,0.2418180688790172
frankfurt_000000_019607,cityscapes_dropout_pu,0.22408029897174123,0.4659150730361878,0.6283957236962905,0.771814524293521,0.9120102447528272,0.0,0.2942882092871117,0.3282827927508276,0.39852223157022004,0.5723914163923365,0.3152743904549348,0.8767613818523547,0.818451488770677,0.6634608442685312,0.48507695061287054,0.42080770183338273,0.29983104638189273,0.374680339492247,0.21845774842903676
frankfurt_000000_020215,cityscapes_dropout_pu,0.2299331349578423,0.44582505358623514,0.5909848920453635,0.7395539347975124,0.0,0.0,0.284976614822528,0.3157789935734322,0.3797395141906771,0.5294593468857325,0.2912985389031922,0.7328412117556633,0.5915943031448402,0.4887672481030071,0.3985381016206129,0.3702527884101288,0.2885032329682379,0.3652433957069557,0.23730448817664246
frankfurt_000000_020321,cityscapes_dropout_pu,0.2569924599671616,0.4905226660807906,0.6477122872193151,0.7749095637222783,0.0,0.0,0.332782639504254,0.3810519049836343,0.4761805583239839,0.6604946237328878,0.3567125004520272,0.8618535591849487,0.8416608391658561,0.7583849199669821,0.4650907178117179,0.411294397019982,0.3297358001269486,0.414924565241626,0.2509331075583773
frankfurt_000000_020880,cityscapes_dropout_pu,0.2218778606327085,0.43905627680304726,0.6049876030427379,0.7538349264886302,0.0,0.0,0.284358572921933,0.31439761101279434,0.374616105291867,0.5248760419750542,0.2955096560985083,0.786485748262822,0.6687376629879545,0.4716168283289632,0.3480298200523149,0.3363888675449081,0.25724514805687726,0.42546119954841854,0.21016461769932193
frankfurt_000000_021667,cityscapes_dropout_pu,0.19707533981394112,0.4789132873861981,0.5974002801849313,0.744829000158499,0.0,0.0,0.27721397199951137,0.32751429344977556,0.4003794062236278,0.5661492598644847,0.31000036969010936,0.8003067179603944,0.6480298348218215,0.5220838773561307,0.4514163316314191,0.4209518425518516,0.2744923181810031,0.2911559931610997,0.15448956767826771
frankfurt_000000_021879,cityscapes_dropout_pu,0.2300606628925474,0.4726614132830396,0.6068841605639826,0.7493036534284013,0.0,0.0,0.29102814442256236,0.32245359044079336,0.3880595151497764,0.5644958191568047,0.309033786967556,0.8040318648876053,0.643072866336865,0.5004245217093304,0.36319264248653527,0.3305726343563405,0.2837819928370522,0.3698628086272565,0.23155837360365714
frankfurt_000000_022254,cityscapes_dropout_pu,0.23458721401321528,0.49816812750029854,0.6700560354637676,0.8332033752200239,0.9202047500959284,0.0,0.3113950304576613,0.35264211731646844,0.43915050092414315,0.6481247251172416,0.32963456854579154,0.9305760396627174,0.8548258708582389,0.640906162089487,0.4415062437132407,0.39311989321761415,0.2840389823278548,0.41022666538837704,0.2328327013042269
frankfurt_000000_022797,cityscapes_dropout_pu,0.24915296051965655,0.49837939321830566,0.6789018264751425,0.8115504114544626,0.9208977606271468,0.9507432488383194,0.30853416607878337,0.3490016582940987,0.4363950015213652,0.6468311054737746,0.32646062690673333,0.935127086667717,0.7218675321861613,0.48689092527475986,0.3787205774334753,0.3376600027727191,0.3107595795692616,0.39039578764935634,0.2643318612102544
frankfurt_000001_000538,cityscapes_dropout_pu,0.2802657674135171,0.4334565365376098,0.617862579658076,0.757342119762887,0.0,0.0,0.355751217756583,0.4037858897444809,0.4715002856866937,0.6009278328521415,0.3791430739625197,0.8299151872109755,0.6978677202754472,0.5813478881821806,0.4501035107724885,0.42651127648279635,0.35733203686442344,0.4287286658906574,0.2648637251516627
